feature,importance
elo_diff,0.495452334735219
elo_a,0.08307421999347418
elo_b,0.07836492086269276
goals_conceded_avg_a,0.07580635582225678
goals_conceded_avg_b,0.05712035500602067
goals_scored_avg_b,0.04834589402733036
h2h_wins_a,0.045832049817004734
form_b,0.04008887474148787
goals_scored_avg_a,0.034197700837861424
form_a,0.022865207814787847
h2h_wins_b,0.01885208634186445
stage_weight,0.0
player_avg_overall_a,0.0
player_top15_overall_a,0.0
player_top5_attack_a,0.0
player_top5_midfield_a,0.0
player_top5_defense_a,0.0
player_top5_gk_a,0.0
player_avg_age_a,0.0
player_avg_international_reputation_a,0.0
player_avg_value_eur_a,0.0
player_avg_weak_foot_a,0.0
player_avg_skill_moves_a,0.0
player_depth_score_a,0.0
player_avg_overall_b,0.0
player_top15_overall_b,0.0
player_top5_attack_b,0.0
player_top5_midfield_b,0.0
player_top5_defense_b,0.0
player_top5_gk_b,0.0
player_avg_age_b,0.0
player_avg_international_reputation_b,0.0
player_avg_value_eur_b,0.0
player_avg_weak_foot_b,0.0
player_avg_skill_moves_b,0.0
player_depth_score_b,0.0
player_avg_overall_diff,0.0
player_top15_overall_diff,0.0
player_top5_attack_diff,0.0
player_top5_midfield_diff,0.0
player_top5_defense_diff,0.0
player_top5_gk_diff,0.0
player_avg_age_diff,0.0
player_avg_international_reputation_diff,0.0
player_avg_value_eur_diff,0.0
player_avg_weak_foot_diff,0.0
player_avg_skill_moves_diff,0.0
player_depth_score_diff,0.0
